period,id,orderId,date,timestamp,symbol,type,price,amount,total,realizedPnl,marginCoin,fee,feeCoin,leverage,invest,category
period-02,205829039,15295749227,18.09.2021 14:27:15,1631964435647,ETHUSD_PERP,SELL,3526.28,281,0.796873759315766,0.00153066,ETH,0.00039843,ETH,3,,f-coin-classic
period-02,205985101,15321443825,18.09.2021 20:07:31,1631984851664,ETHUSD_PERP,BUY,3440.68,200,0.581280444563284,0,ETH,0.00029064,ETH,3,,f-coin-classic
period-02,205985626,15321501410,18.09.2021 20:08:15,1631984895355,ETHUSD_PERP,BUY,3442.38,300,0.87149007372806,0,ETH,0.00043574,ETH,3,,f-coin-classic
period-02,205991109,15322126617,18.09.2021 20:15:59,1631985359854,ETHUSD_PERP,BUY,3434.61,2,0.00582307743819531,0,ETH,0.00000291,ETH,3,,f-coin-classic
period-02,205991110,15322126617,18.09.2021 20:15:59,1631985359854,ETHUSD_PERP,BUY,3434.61,1,0.00291153871909766,0,ETH,0.00000145,ETH,3,,f-coin-classic
period-02,205991111,15322126617,18.09.2021 20:15:59,1631985359854,ETHUSD_PERP,BUY,3434.61,1,0.00291153871909766,0,ETH,0.00000145,ETH,3,,f-coin-classic
period-02,205991112,15322126617,18.09.2021 20:15:59,1631985359854,ETHUSD_PERP,BUY,3434.61,1,0.00291153871909766,0,ETH,0.00000145,ETH,3,,f-coin-classic
period-02,205991113,15322126617,18.09.2021 20:15:59,1631985359854,ETHUSD_PERP,BUY,3434.61,195,0.567750050224043,0,ETH,0.00028387,ETH,3,,f-coin-classic
period-02,206037340,15331787779,18.09.2021 22:30:05,1631993405075,ETHUSD_PERP,BUY,3429.13,22,0.0641562145500462,0,ETH,0.00003207,ETH,3,,f-coin-classic
period-02,206037341,15331787779,18.09.2021 22:30:05,1631993405075,ETHUSD_PERP,BUY,3429.13,22,0.0641562145500462,0,ETH,0.00003207,ETH,3,,f-coin-classic
period-02,206037342,15331787779,18.09.2021 22:30:05,1631993405075,ETHUSD_PERP,BUY,3429.13,22,0.0641562145500462,0,ETH,0.00003207,ETH,3,,f-coin-classic
period-02,206037343,15331787779,18.09.2021 22:30:05,1631993405075,ETHUSD_PERP,BUY,3429.13,22,0.0641562145500462,0,ETH,0.00003207,ETH,3,,f-coin-classic
period-02,206037344,15331787779,18.09.2021 22:30:05,1631993405075,ETHUSD_PERP,BUY,3429.13,22,0.0641562145500462,0,ETH,0.00003207,ETH,3,,f-coin-classic
period-02,206037345,15331787779,18.09.2021 22:30:05,1631993405075,ETHUSD_PERP,BUY,3429.13,90,0.262457241341098,0,ETH,0.00013122,ETH,3,,f-coin-classic
period-02,206064481,15334926129,18.09.2021 23:13:08,1631995988493,ETHUSD_PERP,BUY,3399.69,200,0.588288932226174,0,ETH,0.00029414,ETH,3,,f-coin-classic
period-02,206081379,15335609081,18.09.2021 23:26:21,1631996781705,ETHUSD_PERP,BUY,3381.79,200,0.591402777818847,0,ETH,0.0002957,ETH,3,,f-coin-classic
period-02,206110588,15337997652,19.09.2021 00:57:21,1632002241044,ETHUSD_PERP,BUY,3388.71,200,0.590195088986665,0,ETH,0.00029509,ETH,3,,f-coin-classic
period-02,206458184,15393375724,19.09.2021 15:13:22,1632053602600,ETHUSD_PERP,BUY,3325.83,145,0.43598139411816,0,ETH,0.00004359,ETH,3,,f-coin-classic
period-02,206458185,15393375724,19.09.2021 15:13:22,1632053602604,ETHUSD_PERP,BUY,3325.83,55,0.165372252941371,0,ETH,0.00001653,ETH,3,,f-coin-classic
period-02,206458828,15393464229,19.09.2021 15:14:12,1632053652415,ETHUSD_PERP,BUY,3330.42,228,0.684598338948241,0,ETH,0.00034229,ETH,3,,f-coin-classic
period-02,206458829,15393464229,19.09.2021 15:14:12,1632053652415,ETHUSD_PERP,BUY,3330.42,2,0.00600524858726527,0,ETH,0.000003,ETH,3,,f-coin-classic
period-02,206458830,15393464229,19.09.2021 15:14:12,1632053652415,ETHUSD_PERP,BUY,3330.42,270,0.810708559280811,0,ETH,0.00040535,ETH,3,,f-coin-classic
period-02,206496717,15399646296,19.09.2021 16:34:39,1632058479914,ETHUSD_PERP,BUY,3344.6,191,0.571069784129642,0,ETH,0.00028553,ETH,3,,f-coin-classic
period-02,206496718,15399646296,19.09.2021 16:34:39,1632058479914,ETHUSD_PERP,BUY,3344.6,109,0.325898463194403,0,ETH,0.00016294,ETH,3,,f-coin-classic
period-02,206518198,15404231173,19.09.2021 17:42:28,1632062548034,ETHUSD_PERP,BUY,3359.38,200,0.595347951110026,0,ETH,0.00005953,ETH,3,,f-coin-classic
period-02,206532764,15407869487,19.09.2021 18:28:52,1632065332326,ETHUSD_PERP,BUY,3355.12,200,0.596103865137462,0,ETH,0.00029805,ETH,3,,f-coin-classic
period-02,206533385,15408039983,19.09.2021 18:32:03,1632065523565,ETHUSD_PERP,BUY,3355.11,100,0.298052820920924,0,ETH,0.0000298,ETH,3,,f-coin-classic
period-02,206574767,15416640962,19.09.2021 20:42:09,1632073329047,ETHUSD_PERP,BUY,3337.89,200,0.599180919682794,0,ETH,0.00029959,ETH,3,,f-coin-classic
period-02,206633128,15421370462,19.09.2021 23:50:26,1632084626875,ETHUSD_PERP,BUY,3361.42,300,0.892479963824812,0,ETH,0.00008924,ETH,3,,f-coin-classic
period-02,241955787,23078382197,20.09.2021 10:15:17,1632122117826,BTCUSD_PERP,BUY,45606.8,91,0.199531648789216,0,BTC,0.00009976,BTC,5,,f-coin-signal
period-02,241955788,23078382197,20.09.2021 10:15:17,1632122117826,BTCUSD_PERP,BUY,45606.8,100,0.219265548120017,0,BTC,0.00010963,BTC,5,,f-coin-signal
period-02,241955789,23078382197,20.09.2021 10:15:17,1632122117826,BTCUSD_PERP,BUY,45606.8,100,0.219265548120017,0,BTC,0.00010963,BTC,5,,f-coin-signal
period-02,241955790,23078382197,20.09.2021 10:15:17,1632122117826,BTCUSD_PERP,BUY,45606.8,100,0.219265548120017,0,BTC,0.00010963,BTC,5,,f-coin-signal
period-02,241955791,23078382197,20.09.2021 10:15:17,1632122117826,BTCUSD_PERP,BUY,45606.8,109,0.238999447450819,0,BTC,0.00011949,BTC,5,,f-coin-signal
period-02,241965781,23080317649,20.09.2021 10:29:44,1632122984294,BTCUSD_PERP,BUY,45391.7,200,0.440609186260924,0,BTC,0.00004406,BTC,5,,f-coin-signal
period-02,242511523,23117338504,20.09.2021 16:23:25,1632144205974,BTCUSD_PERP,BUY,43670.4,1,0.00228988055983,0,BTC,0.00000114,BTC,5,,f-coin-signal
period-02,242511524,23117338504,20.09.2021 16:23:25,1632144205974,BTCUSD_PERP,BUY,43670.4,6,0.01373928335898,0,BTC,0.00000686,BTC,5,,f-coin-signal
period-02,242511525,23117338504,20.09.2021 16:23:25,1632144205974,BTCUSD_PERP,BUY,43670.5,40,0.0915950126515611,0,BTC,0.00004579,BTC,5,,f-coin-signal
period-02,242511526,23117338504,20.09.2021 16:23:25,1632144205974,BTCUSD_PERP,BUY,43672.4,5,0.0114488784678653,0,BTC,0.00000572,BTC,5,,f-coin-signal
period-02,242511527,23117338504,20.09.2021 16:23:25,1632144205974,BTCUSD_PERP,BUY,43672.6,148,0.338885250706393,0,BTC,0.00016944,BTC,5,,f-coin-signal
period-02,242559472,23123608116,20.09.2021 17:08:18,1632146898045,BTCUSD_PERP,BUY,44047.9,300,0.681076736915948,0,BTC,0.00034053,BTC,5,,f-coin-signal
period-02,242718103,23157794465,20.09.2021 21:29:33,1632162573210,BTCUSD_PERP,BUY,43608.1,46,0.105484990173844,0,BTC,0.00005274,BTC,5,,f-coin-signal
period-02,242718104,23157794465,20.09.2021 21:29:33,1632162573210,BTCUSD_PERP,BUY,43608.3,54,0.123829637935898,0,BTC,0.00006191,BTC,5,,f-coin-signal
period-02,242718685,23157843777,20.09.2021 21:30:21,1632162621597,BTCUSD_PERP,BUY,43600,100,0.229357798165138,0,BTC,0.00002293,BTC,5,,f-coin-signal
period-02,244279885,23360782748,22.09.2021 00:02:22,1632258142281,BTCUSD_PERP,BUY,40764.2,95,0.233047625122043,0,BTC,0.00011652,BTC,5,,f-coin-signal
period-02,244279886,23360782748,22.09.2021 00:02:22,1632258142281,BTCUSD_PERP,BUY,40764.2,11,0.0269844618562366,0,BTC,0.00001349,BTC,5,,f-coin-signal
period-02,244279887,23360782748,22.09.2021 00:02:22,1632258142281,BTCUSD_PERP,BUY,40764.2,94,0.230594492226022,0,BTC,0.00011529,BTC,5,,f-coin-signal
period-02,246271080,23723564895,23.09.2021 21:24:10,1632421450196,BTCUSD_PERP,SELL,44555.3,139,0.311971864177775,0.00297355,BTC,0.00015598,BTC,5,,f-coin-signal
period-02,246271081,23723564895,23.09.2021 21:24:10,1632421450196,BTCUSD_PERP,SELL,44555.3,250,0.561100475139882,0.00534811,BTC,0.00028055,BTC,5,,f-coin-signal
period-02,246271082,23723564895,23.09.2021 21:24:10,1632421450196,BTCUSD_PERP,SELL,44555.3,411,0.922449181129967,0.0087923,BTC,0.00046122,BTC,5,,f-coin-signal
period-02,246459337,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44138.6,92,0.20843434091702,0.00001874,BTC,0.00010421,BTC,5,,f-coin-signal
period-02,246459338,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44138.1,7,0.0158593142885625,0.00000124,BTC,0.00000792,BTC,5,,f-coin-signal
period-02,246459339,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44137.9,4,0.00906250637207479,0.00000067,BTC,0.00000453,BTC,5,,f-coin-signal
period-02,246459340,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44137.9,98,0.222031406115832,0.00001644,BTC,0.00011101,BTC,5,,f-coin-signal
period-02,246459341,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44136.8,76,0.172191912417756,0.00000845,BTC,0.00008609,BTC,5,,f-coin-signal
period-02,246459342,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44136.3,100,0.226570872501773,0.00000856,BTC,0.00011328,BTC,5,,f-coin-signal
period-02,246459343,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44135.5,2,0.00453149958650066,0,BTC,0.00000226,BTC,5,,f-coin-signal
period-02,246459344,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44135.1,30,0.0679731098377482,0.00000072,BTC,0.00003398,BTC,5,,f-coin-signal
period-02,246459345,23723641011,24.09.2021 07:12:13,1632456733223,BTCUSD_PERP,SELL,44135,391,0.885918205505834,0.00000738,BTC,0.00044295,BTC,5,,f-coin-signal
period-02,246894110,23834196979,24.09.2021 13:45:32,1632480332557,BTCUSD_PERP,BUY,42160.5,100,0.237188837893289,0,BTC,0.00011859,BTC,5,,f-coin-signal
period-02,246894111,23834196979,24.09.2021 13:45:32,1632480332557,BTCUSD_PERP,BUY,42160.5,99,0.234816949514356,0,BTC,0.0001174,BTC,5,,f-coin-signal
period-02,246894112,23834196979,24.09.2021 13:45:32,1632480332557,BTCUSD_PERP,BUY,42160.5,1,0.00237188837893289,0,BTC,0.00000118,BTC,5,,f-coin-signal
period-02,246898837,23834289243,24.09.2021 13:48:45,1632480525591,BTCUSD_PERP,BUY,42150,12,0.0284697508896797,0,BTC,0.00000284,BTC,5,,f-coin-signal
period-02,246898838,23834289243,24.09.2021 13:48:45,1632480525592,BTCUSD_PERP,BUY,42150,50,0.118623962040332,0,BTC,0.00001186,BTC,5,,f-coin-signal
period-02,246898839,23834289243,24.09.2021 13:48:45,1632480525595,BTCUSD_PERP,BUY,42150,138,0.327402135231317,0,BTC,0.00003274,BTC,5,,f-coin-signal
period-02,246899342,23834380161,24.09.2021 13:48:47,1632480527747,BTCUSD_PERP,BUY,42100,100,0.237529691211401,0,BTC,0.00002375,BTC,5,,f-coin-signal
period-02,246930005,23835991834,24.09.2021 14:03:25,1632481405056,BTCUSD_PERP,BUY,42000,100,0.238095238095238,0,BTC,0.0000238,BTC,5,,f-coin-signal
period-02,246962789,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,497,1.19759036144578,-0.0176308,BTC,0.00059879,BTC,5,,f-coin-signal
period-02,246962790,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,30,0.072289156626506,-0.00106423,BTC,0.00003614,BTC,5,,f-coin-signal
period-02,246962791,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,1,0.00240963855421687,-0.00003547,BTC,0.0000012,BTC,5,,f-coin-signal
period-02,246962792,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,10,0.0240963855421687,-0.00035474,BTC,0.00001204,BTC,5,,f-coin-signal
period-02,246962793,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,1,0.00240963855421687,-0.00003547,BTC,0.0000012,BTC,5,,f-coin-signal
period-02,246962794,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,25,0.0602409638554217,-0.00088686,BTC,0.00003012,BTC,5,,f-coin-signal
period-02,246962795,23838684489,24.09.2021 14:10:50,1632481850547,BTCUSD_PERP,SELL,41500,36,0.0867469879518072,-0.00127708,BTC,0.00004337,BTC,5,,f-coin-signal
period-02,246977752,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41260.8,1,0.00242360787963394,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,246977753,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41262.2,1,0.00242352564817193,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,246977754,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41262.8,100,0.242349040782497,0,BTC,0.00012117,BTC,5,,f-coin-signal
period-02,246977755,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41262.9,185,0.448344638888687,0,BTC,0.00022417,BTC,5,,f-coin-signal
period-02,246977756,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41263.2,1,0.00242346691482968,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,246977757,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41263.3,1,0.00242346104165202,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,246977758,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41264.3,127,0.307772093553023,0,BTC,0.00015388,BTC,5,,f-coin-signal
period-02,246977759,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41265.2,24,0.0581603869604412,0,BTC,0.00002908,BTC,5,,f-coin-signal
period-02,246977760,23839182956,24.09.2021 14:12:49,1632481969004,BTCUSD_PERP,BUY,41265.4,60,0.145400262689808,0,BTC,0.0000727,BTC,5,,f-coin-signal
period-02,247000673,23839287509,24.09.2021 14:17:49,1632482269364,BTCUSD_PERP,BUY,41000,200,0.48780487804878,0,BTC,0.00004878,BTC,5,,f-coin-signal
period-02,212614381,15960488308,24.09.2021 14:25:36,1632482736603,ETHUSD_PERP,BUY,2792.88,100,0.358053335624875,0,ETH,0.00017902,ETH,3,,f-coin-classic
period-02,247057002,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41186,61,0.148108580585636,-0.00000708,BTC,0.00007405,BTC,5,,f-coin-signal
period-02,247057003,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41186,10,0.0242800951779731,-0.00000116,BTC,0.00001214,BTC,5,,f-coin-signal
period-02,247057004,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41186,10,0.0242800951779731,-0.00000116,BTC,0.00001214,BTC,5,,f-coin-signal
period-02,247057005,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41185.7,25,0.0607006800904197,-0.00000334,BTC,0.00003035,BTC,5,,f-coin-signal
period-02,247057006,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41185.7,200,0.485605440723358,-0.00002676,BTC,0.0002428,BTC,5,,f-coin-signal
period-02,247057007,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41185.3,200,0.485610157022044,-0.00003148,BTC,0.0002428,BTC,5,,f-coin-signal
period-02,247057008,23841896967,24.09.2021 14:34:52,1632483292099,BTCUSD_PERP,SELL,41185,194,0.471045283476994,-0.00003396,BTC,0.00023552,BTC,5,,f-coin-signal
period-02,247064725,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41125.1,100,0.243160502953184,0,BTC,0.00012158,BTC,5,,f-coin-signal
period-02,247064726,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41127.1,35,0.085102037342774,0,BTC,0.00004255,BTC,5,,f-coin-signal
period-02,247064727,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41127.2,1,0.00243148086910852,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,247064728,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41127.4,24,0.0583552570792221,0,BTC,0.00002917,BTC,5,,f-coin-signal
period-02,247064729,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41127.9,1,0.00243143948511837,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,247064730,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41128.8,1,0.00243138627920095,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,247064731,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41128.9,33,0.0802355521300108,0,BTC,0.00004011,BTC,5,,f-coin-signal
period-02,247064732,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41129.1,1,0.00243136854441259,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,247064733,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41130.3,24,0.0583511425883108,0,BTC,0.00002917,BTC,5,,f-coin-signal
period-02,247064734,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41130.4,1,0.0024312916966526,0,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,247064735,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41130.5,145,0.35253643889571,0,BTC,0.00017626,BTC,5,,f-coin-signal
period-02,247064736,23843905664,24.09.2021 14:37:39,1632483459978,BTCUSD_PERP,BUY,41130.9,134,0.325789126909453,0,BTC,0.00016289,BTC,5,,f-coin-signal
period-02,247066842,23843983005,24.09.2021 14:38:08,1632483488735,BTCUSD_PERP,BUY,41000,200,0.48780487804878,0,BTC,0.00004878,BTC,5,,f-coin-signal
period-02,247123384,23846637594,24.09.2021 15:09:47,1632485387427,BTCUSD_PERP,SELL,41099.3,1,0.00243313146452616,0.00000042,BTC,0.00000121,BTC,5,,f-coin-signal
period-02,247123385,23846637594,24.09.2021 15:09:47,1632485387427,BTCUSD_PERP,SELL,41097.9,100,0.243321434915166,0.00003455,BTC,0.00012166,BTC,5,,f-coin-signal
period-02,247123386,23846637594,24.09.2021 15:09:47,1632485387427,BTCUSD_PERP,SELL,41097.2,24,0.0583981390459691,0.00000729,BTC,0.00002919,BTC,5,,f-coin-signal
period-02,247123387,23846637594,24.09.2021 15:09:47,1632485387427,BTCUSD_PERP,SELL,41097.1,202,0.491518866294702,0.00006022,BTC,0.00024575,BTC,5,,f-coin-signal
period-02,247123388,23846637594,24.09.2021 15:09:47,1632485387427,BTCUSD_PERP,SELL,41097,373,0.90760882789498,0.000109,BTC,0.0004538,BTC,5,,f-coin-signal
period-02,212859712,15970087108,24.09.2021 16:51:39,1632491499269,ETHUSD_PERP,BUY,2849.24,100,0.350970785191841,0,ETH,0.00017548,ETH,3,,f-coin-classic
period-02,248013405,24012953166,25.09.2021 15:16:05,1632572165065,BTCUSD_PERP,BUY,42400,252,0.594339622641509,0,BTC,0.00005943,BTC,5,,f-coin-signal
period-02,248013406,24012953166,25.09.2021 15:16:05,1632572165202,BTCUSD_PERP,BUY,42400,2,0.00471698113207547,0,BTC,0.00000047,BTC,5,,f-coin-signal
period-02,248013443,24012953166,25.09.2021 15:16:07,1632572167364,BTCUSD_PERP,BUY,42400,9,0.0212264150943396,0,BTC,0.00000212,BTC,5,,f-coin-signal
period-02,248013562,24012953166,25.09.2021 15:16:29,1632572189056,BTCUSD_PERP,BUY,42400,1,0.00235849056603774,0,BTC,0.00000023,BTC,5,,f-coin-signal
period-02,248013563,24012953166,25.09.2021 15:16:29,1632572189229,BTCUSD_PERP,BUY,42400,236,0.556603773584906,0,BTC,0.00005566,BTC,5,,f-coin-signal
period-02,248030382,24012977301,25.09.2021 16:01:00,1632574860358,BTCUSD_PERP,BUY,42300,9,0.0212765957446809,0,BTC,0.00000212,BTC,5,,f-coin-signal
period-02,248030383,24012977301,25.09.2021 16:01:00,1632574860360,BTCUSD_PERP,BUY,42300,12,0.0283687943262411,0,BTC,0.00000283,BTC,5,,f-coin-signal
period-02,248030384,24012977301,25.09.2021 16:01:00,1632574860375,BTCUSD_PERP,BUY,42300,20,0.0472813238770686,0,BTC,0.00000472,BTC,5,,f-coin-signal
period-02,248030385,24012977301,25.09.2021 16:01:00,1632574860377,BTCUSD_PERP,BUY,42300,5,0.0118203309692671,0,BTC,0.00000118,BTC,5,,f-coin-signal
period-02,248030386,24012977301,25.09.2021 16:01:00,1632574860377,BTCUSD_PERP,BUY,42300,3,0.00709219858156028,0,BTC,0,BTC,5,,f-coin-signal
period-02,248030387,24012977301,25.09.2021 16:01:00,1632574860379,BTCUSD_PERP,BUY,42300,5,0.0118203309692671,0,BTC,0.00000118,BTC,5,,f-coin-signal
period-02,248030388,24012977301,25.09.2021 16:01:00,1632574860388,BTCUSD_PERP,BUY,42300,5,0.0118203309692671,0,BTC,0.00000118,BTC,5,,f-coin-signal
period-02,248030389,24012977301,25.09.2021 16:01:00,1632574860395,BTCUSD_PERP,BUY,42300,14,0.033096926713948,0,BTC,0.0000033,BTC,5,,f-coin-signal
period-02,248030390,24012977301,25.09.2021 16:01:00,1632574860537,BTCUSD_PERP,BUY,42300,11,0.0260047281323877,0,BTC,0.0000026,BTC,5,,f-coin-signal
period-02,248030391,24012977301,25.09.2021 16:01:00,1632574860713,BTCUSD_PERP,BUY,42300,7,0.016548463356974,0,BTC,0.00000165,BTC,5,,f-coin-signal
period-02,248030392,24012977301,25.09.2021 16:01:00,1632574860991,BTCUSD_PERP,BUY,42300,138,0.326241134751773,0,BTC,0.00003262,BTC,5,,f-coin-signal
period-02,248030393,24012977301,25.09.2021 16:01:01,1632574861037,BTCUSD_PERP,BUY,42300,271,0.640661938534279,0,BTC,0.00006406,BTC,5,,f-coin-signal
period-02,248271938,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42349.7,26,0.0613935872036874,-0.00000034,BTC,0.00003069,BTC,5,,f-coin-signal
period-02,248271939,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42349.5,67,0.158207298787471,-0.00000164,BTC,0.0000791,BTC,5,,f-coin-signal
period-02,248271940,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42349.2,2,0.00472263938870156,0,BTC,0.00000236,BTC,5,,f-coin-signal
period-02,248271941,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42349,1,0.00236133084606484,0,BTC,0.00000118,BTC,5,,f-coin-signal
period-02,248271942,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42348.3,191,0.451021646677671,-0.00001747,BTC,0.00022551,BTC,5,,f-coin-signal
period-02,248271943,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42347.1,74,0.174746322652555,-0.00001172,BTC,0.00008737,BTC,5,,f-coin-signal
period-02,248271944,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42347.1,4,0.00944574717040836,-0.00000063,BTC,0.00000472,BTC,5,,f-coin-signal
period-02,248271945,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42347.1,100,0.236143679260209,-0.00001584,BTC,0.00011807,BTC,5,,f-coin-signal
period-02,248271946,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345.8,44,0.103906408663905,-0.00001015,BTC,0.00005195,BTC,5,,f-coin-signal
period-02,248271947,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345.6,30,0.0708456132396282,-0.00000726,BTC,0.00003542,BTC,5,,f-coin-signal
period-02,248271948,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345.3,82,0.19364604808562,-0.00002122,BTC,0.00009682,BTC,5,,f-coin-signal
period-02,248271949,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345.2,67,0.158223364159338,-0.00001771,BTC,0.00007911,BTC,5,,f-coin-signal
period-02,248271950,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345.1,5,0.0118077416277208,-0.00000134,BTC,0.0000059,BTC,5,,f-coin-signal
period-02,248271951,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345.1,40,0.0944619330217664,-0.00001079,BTC,0.00004723,BTC,5,,f-coin-signal
period-02,248271952,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42345,2,0.00472310780493565,-0.00000055,BTC,0.00000236,BTC,5,,f-coin-signal
period-02,248271953,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42344.9,2,0.00472311895883566,-0.00000056,BTC,0.00000236,BTC,5,,f-coin-signal
period-02,248271954,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42344.8,120,0.283387806767301,-0.0000344,BTC,0.00014169,BTC,5,,f-coin-signal
period-02,248271955,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42344,65,0.153504628754959,-0.00002153,BTC,0.00007675,BTC,5,,f-coin-signal
period-02,248271956,24074242466,26.09.2021 03:55:01,1632617701009,BTCUSD_PERP,SELL,42343.8,78,0.184206424553299,-0.00002671,BTC,0.0000921,BTC,5,,f-coin-signal
period-02,248442800,24096767258,26.09.2021 10:48:31,1632642511313,BTCUSD_PERP,BUY,41064,22,0.0535749074615235,0,BTC,0.00002678,BTC,5,,f-coin-signal
period-02,248442801,24096767258,26.09.2021 10:48:31,1632642511313,BTCUSD_PERP,BUY,41064,20,0.0487044613286577,0,BTC,0.00002435,BTC,5,,f-coin-signal
period-02,248442802,24096767258,26.09.2021 10:48:31,1632642511313,BTCUSD_PERP,BUY,41064,50,0.121761153321644,0,BTC,0.00006088,BTC,5,,f-coin-signal
period-02,248442803,24096767258,26.09.2021 10:48:31,1632642511313,BTCUSD_PERP,BUY,41064,100,0.243522306643289,0,BTC,0.00012176,BTC,5,,f-coin-signal
period-02,248442804,24096767258,26.09.2021 10:48:31,1632642511313,BTCUSD_PERP,BUY,41064,75,0.182641729982466,0,BTC,0.00009132,BTC,5,,f-coin-signal
period-02,248442805,24096767258,26.09.2021 10:48:31,1632642511313,BTCUSD_PERP,BUY,41064,133,0.323884667835574,0,BTC,0.00016194,BTC,5,,f-coin-signal
period-02,248444783,24096864093,26.09.2021 10:49:56,1632642596391,BTCUSD_PERP,BUY,41000,200,0.48780487804878,0,BTC,0.00004878,BTC,5,,f-coin-signal
